Модель;Цена, долл;Пробег, мили;Год;Объём двигателя, л;Мощность, л.с;Топливо
Renault Sandero II;71472,96;6541,44;2015;1,6;82;Бензин
Renault Sandero I;105655,69;3330,19;2011;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;24,86;10537,67;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10246,28;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10710,13;2021;1,6;113;Бензин
Renault Sandero II Stepway;33469,24;9276,96;2018;1,6;102;Бензин
Renault Sandero II Stepway;75201,99;7956,77;2016;1,6;102;Бензин
Renault Sandero I Stepway;76993,16;4995,28;2011;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9312,64;2021;1,6;113;Бензин
Renault Sandero I Stepway;73337,48;5233,15;2011;1,6;84;Бензин
Renault Sandero I;134244,87;3032,85;2010;1,6;103;Бензин
Renault Sandero I;74580,48;5114,22;2012;1,4;75;Бензин
Renault Sandero I;114978,25;3687,00;2010;1,4;75;Бензин
Renault Sandero I;86211,31;6279,79;2014;1,6;84;Бензин
Renault Sandero I;33188,32;5114,22;2014;1,4;75;Бензин
Renault Sandero II Рестайлинг Stepway;31696,71;9098,55;2018;1,6;102;Бензин
Renault Sandero I;75391,55;3912,97;2014;1,4;75;Бензин
Renault Sandero I Stepway;61528,90;3805,93;2012;1,6;84;Бензин
Renault Sandero I;54170,91;3273,10;2010;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;36092,60;9342,41;2019;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;6215,04;9039,09;2019;1,6;82;Бензин
Renault Sandero II;15653,20;9502,93;2018;1,6;82;Бензин
Renault Sandero II;83903,05;6481,98;2014;1,6;102;Бензин
Renault Sandero II;36653,82;6363,04;2016;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8673,95;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;1249,22;10228,44;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10698,23;2021;1,6;113;Бензин
Renault Sandero I;137302,67;3984,33;2012;1,4;75;Бензин
Renault Sandero I;98889,37;3675,10;2012;1,4;75;Бензин
Renault Sandero II Рестайлинг;0,00;8670,39;2021;1,6;82;Бензин
Renault Sandero I;129737,10;4460,08;2012;1,6;84;Бензин
Renault Sandero I;81305,16;4162,74;2010;1,6;103;Бензин
Renault Sandero II Рестайлинг;0,00;8670,39;2021;1,6;82;Бензин
Renault Sandero II Stepway;77066,50;7611,86;2016;1,6;82;Бензин
Renault Sandero II Рестайлинг;12740,83;6541,44;2019;1,6;113;Бензин
Renault Sandero II Stepway;21752,64;9395,89;2015;1,6;82;Бензин
Renault Sandero I;65879,43;3984,33;2011;1,6;84;Бензин
Renault Sandero II Рестайлинг;29967,68;10097,61;2018;1,6;102;Бензин
Renault Sandero II Рестайлинг;45742,70;7730,80;2018;1,6;82;Бензин
Renault Sandero II Stepway;30453,70;7968,67;2015;1,6;102;Бензин
Renault Sandero II;24777,50;8075,71;2018;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11298,86;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12238,45;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12238,45;2021;1,6;102;Бензин
Renault Sandero I;57799,88;5221,26;2012;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11179,92;2021;1,6;102;Бензин
Renault Sandero II Stepway;33463,02;8563,34;2017;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12238,45;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11298,86;2021;1,6;102;Бензин
Renault Sandero II Stepway;25354,88;8908,26;2017;1,6;102;Бензин
Renault Sandero II;35126,79;6410,61;2015;1,6;82;Бензин
Renault Sandero I;60718,46;4388,71;2013;1,4;75;Бензин
Renault Sandero II Stepway;38868,86;8313,58;2016;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;3308,89;10692,29;2019;1,6;113;Бензин
Renault Sandero II Stepway;13069,61;9502,93;2017;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11298,86;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12238,45;2021;1,6;102;Бензин
Renault Sandero II;29091,98;9502,93;2017;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12238,45;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11191,82;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;6,22;8908,26;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11191,82;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11191,82;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11298,86;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11090,72;2021;1,6;102;Бензин
Renault Sandero II;46992,54;5827,83;2014;1,6;102;Бензин
Renault Sandero I Stepway;58455,56;5530,49;2011;1,6;84;Бензин
Renault Sandero II;30453,70;6838,78;2017;1,6;82;Бензин
Renault Sandero II;31075,20;7611,86;2016;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8691,02;2020;1,6;113;Бензин
Renault Sandero II;62150,40;6898,25;2017;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9108,07;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8696,55;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8691,02;2020;1,6;113;Бензин
Renault Sandero I;51921,07;4162,74;2012;1,6;84;Бензин
Renault Sandero II Stepway;57799,88;8789,32;2018;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8696,55;2021;1,6;82;Бензин
Renault Sandero I;118085,77;5589,96;2014;1,6;103;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11191,82;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9653,33;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9005,19;2021;1,6;113;Бензин
Renault Sandero I;116221,26;4757,41;2014;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9108,07;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8593,67;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9586,07;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9066,44;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8709,63;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9108,07;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7722,47;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9173,48;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8332,61;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8696,55;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9669,26;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7844,97;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8156,05;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9705,12;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9908,50;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7722,47;2021;1,6;113;Бензин
Renault Sandero I;83986,95;4686,05;2013;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7737,93;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8816,68;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8332,61;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8079,28;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8983,19;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9399,46;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8983,19;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9756,21;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8796,46;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;9944,06;9514,82;2018;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;7533,13;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9108,07;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;1553,76;11298,86;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;7321,66;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;12048,15;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7758,15;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8233,89;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8691,02;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8696,55;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8691,02;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8639,46;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8736,99;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9884,72;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8758,40;2021;1,6;82;Бензин
Renault Sandero I;94344,31;3746,46;2012;1,4;75;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7353,77;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8696,55;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8570,48;2021;1,6;102;Бензин
Renault Sandero II;33561,22;8206,54;2016;1,6;82;Бензин
Renault Sandero II;8701,06;8860,68;2018;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8626,38;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7246,73;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7246,73;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9424,44;2021;1,6;113;Бензин
Renault Sandero I;116627,10;4430,37;2012;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8150,64;2021;1,6;82;Бензин
Renault Sandero I;126448,73;4291,21;2012;1,4;75;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8796,46;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8677,52;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;2461,16;9931,10;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7353,77;2021;1,6;82;Бензин
Renault Sandero I;75823,49;4460,08;2010;1,6;103;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8689,42;2021;1,6;102;Бензин
Renault Sandero II;33250,47;7730,80;2015;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;9669,44;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;19577,38;10180,86;2018;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7246,73;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8233,89;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7722,47;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8570,48;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9705,12;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8816,68;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;8091,17;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9115,20;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7963,91;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9173,48;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8689,42;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7856,87;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8439,65;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7127,79;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7829,51;2021;1,6;113;Бензин
Renault Sandero I;143291,49;4549,30;2012;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8186,32;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7963,91;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9781,24;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8983,19;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8689,42;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9234,14;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9234,14;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8781,00;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;7948,45;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9173,48;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7963,91;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8186,32;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8543,13;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7246,73;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8886,85;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9399,46;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;6937,50;2021;1,6;82;Бензин
Renault Sandero II;2727,16;8682,28;2017;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8332,61;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8758,40;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8796,46;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;6786,45;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8126,85;2021;1,6;102;Бензин
Renault Sandero I;99371,04;4043,80;2011;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8186,32;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9590,95;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7829,51;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7246,73;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7960,34;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7722,47;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8364,72;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7960,34;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9112,83;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7246,73;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8626,38;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8626,38;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7877,09;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7960,34;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7960,34;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9256,74;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;6889,92;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8796,46;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8709,63;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7960,34;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8796,46;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8079,28;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7963,91;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7960,34;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7904,44;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7510,11;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7603,54;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7246,73;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8079,28;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8079,28;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7844,97;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7353,77;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7246,73;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7960,34;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8332,61;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8213,67;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8186,32;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8126,85;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7353,77;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7353,77;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7127,79;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8864,25;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8126,85;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8340,94;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8186,32;2021;1,6;102;Бензин
Renault Sandero II Stepway;13051,58;9514,83;2017;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9587,95;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9114,01;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10522,42;2021;1,6;113;Бензин
Renault Sandero I;55313,86;4638,48;2012;1,6;103;Бензин
Renault Sandero II;45369,79;7076,65;2017;1,6;82;Бензин
Renault Sandero I;68365,44;5578,07;2013;1,4;75;Бензин
Renault Sandero II Stepway;54692,36;8111,39;2016;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10668,50;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11144,24;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;19484,15;8622,81;2018;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9871,63;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8813,11;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9871,63;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11215,60;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11144,24;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9871,63;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;1615,91;10097,61;2020;1,6;102;Бензин
Renault Sandero I;62771,91;4460,08;2011;1,6;84;Бензин
Renault Sandero I;108763,21;3794,04;2010;1,4;75;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11536,73;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9514,83;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;5,59;11060,99;2019;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12238,45;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9407,79;2021;1,6;113;Бензин
Renault Sandero I Stepway;59353,64;5340,20;2012;1,6;103;Бензин
Renault Sandero II Рестайлинг;37911,75;9514,83;2018;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8408,73;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12119,51;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12238,45;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8040,03;2021;1,6;82;Бензин
Renault Sandero I;60059,04;4341,14;2012;1,4;75;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11144,24;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7683,22;2021;1,6;82;Бензин
Renault Sandero I Stepway;46868,24;5578,07;2012;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12238,45;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;9609,98;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;8777,43;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;8158,96;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;8825,00;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;10347,37;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;9360,21;2021;1,6;113;Бензин
Renault Sandero I Stepway;41275,33;5827,83;2012;1,6;84;Бензин
Renault Sandero II Рестайлинг;0,00;9764,59;2021;1,6;102;Бензин
Renault Sandero I;45488,50;6423,70;2013;1,6;103;Бензин
Renault Sandero II Рестайлинг;0,00;9253,17;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9502,93;2021;1,6;102;Бензин
Renault Sandero I;21958,36;5518,60;2013;1,6;84;Бензин
Renault Sandero II Рестайлинг;0,00;9764,59;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;8087,60;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;9538,61;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;8658,49;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;8813,11;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7576,18;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7683,22;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;9300,74;2021;1,6;113;Бензин
Renault Sandero I Stepway;57675,57;5768,36;2013;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8408,73;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;8658,49;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;9288,85;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8206,54;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;6957,72;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;8825,00;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9502,93;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;8932,04;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;8932,04;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;8825,00;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;10157,08;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;10347,37;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;8825,00;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;9407,79;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;8777,43;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;31417,65;9693,23;2018;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8158,96;2021;1,6;113;Бензин
Renault Sandero I Stepway;130515,85;5114,22;2012;1,6;103;Бензин
Renault Sandero II;35662,52;5934,87;2015;1,6;102;Бензин
Renault Sandero I;49720,32;4150,84;2011;1,4;75;Бензин
Renault Sandero II Stepway;55313,86;6517,66;2015;1,6;82;Бензин
Renault Sandero II;55935,36;6957,72;2016;1,6;113;Бензин
Renault Sandero II Stepway;22517,71;8206,54;2017;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;11512,94;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;11512,94;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11864,47;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11298,86;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11643,77;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10466,31;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12321,70;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11881,64;2021;1,6;113;Бензин
Renault Sandero II;26103,17;7136,12;2017;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12714,19;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10823,12;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10359,27;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10466,31;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10418,74;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12369,28;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11929,21;2021;1,6;102;Бензин
Renault Sandero I Stepway;69297,70;5459,13;2013;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;12430,08;9039,09;2018;1,6;82;Бензин
Renault Sandero II Stepway;30142,95;7849,73;2016;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11370,22;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10942,05;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10716,07;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;8468,20;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11179,92;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8340,94;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12238,45;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11096,67;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10835,01;2021;1,6;113;Бензин
Renault Sandero I Stepway;27004,35;6065,70;2012;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9943,20;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12630,93;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10192,76;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11724,31;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;10846,90;2021;1,6;102;Бензин
